ID,Text,Comment
BeaverBuddies.ClientDesynced.ReportFailed,"Not sent",""
BeaverBuddies.ClientDesynced.ConsentAgreement,"Yes, I agree",""
BeaverBuddies.ClientDesynced.TracingEnabled,"Enabled",""
BeaverBuddies.ClientDesynced.EnableTracing,"Enable logging",""
BeaverBuddies.ClientDesynced.NeedToEnableTracing,"To report this desync, *every player* must first press Enable logging below. If it happens again, you can then post a detailed bug report automatically. Logging may cause some lag, and it stays on only until you restart the game.",""
BeaverBuddies.ClientDesynced.ConsentMessage,"Consent to share usage data

If you agree, the following from this game session is sent to the developers of this mod:

- Log data: collected automatically while you play, such as game events and what you do in the game.
- Save file: your current game save.

We try to keep this data mostly anonymous. But because it is sent as it is, it may include details that could identify you (such as file paths or usernames). The developers won't try to identify you from it.

Your choices:
- If you agree, the data is sent securely to the developers and used to improve the mod.
- If you don't agree, nothing is sent, and your game carries on as before.

By continuing, you confirm that you are at least the legal age of digital consent where you live.

Do you agree to share your data with the developers of this mod?",""
BeaverBuddies.Settings.ClientConnectionAddress,"Client connection address",""
BeaverBuddies.Settings.ClientConnectionAddress.Tooltip,"The host's address, filled in for you when you join by IP.",""
BeaverBuddies.Settings.Port,"Port",""
BeaverBuddies.Settings.Port.Tooltip,"The port used to host and join by IP. The host forwards it on their router.",""
BeaverBuddies.Settings.SilenceLogging,"Silence logging",""
BeaverBuddies.Settings.SilenceLogging.Tooltip,"For developers: no routine log lines from this mod. Warnings and errors are still logged.",""
BeaverBuddies.Settings.ShowFirstTimerMessage,"Show first-time message",""
BeaverBuddies.Settings.AlwaysTrace,"Always use detailed logging",""
BeaverBuddies.Settings.AlwaysTrace.Tooltip,"Logs desync details from the start, so even the first desync can be reported.
Every player must turn it on. It slows the game: colonies of 200+ beavers and bots can't keep up.",""
BeaverBuddies.Settings.ReportingConsent,"Consent to reporting",""
BeaverBuddies.Settings.EnableSteamConnection,"Enable Steam networking",""
BeaverBuddies.Settings.EnableSteamConnection.Tooltip,"Let players join through Steam (no port forwarding). Joining by IP still works.",""
BeaverBuddies.Settings.FriendsCanJoinSteamGame,"Allow friends to join directly via Steam",""
BeaverBuddies.Settings.FriendsCanJoinSteamGame.Tooltip,"Steam friends can join your game from their friends list, without an invite.",""
BeaverBuddies.Settings.PauseReduction,"Fewer forced pauses",""
BeaverBuddies.Settings.PauseReduction.Tooltip,"How often the game pauses for menus and dialogs. Every player should choose the same.
Never auto-pause: pause before saving, or the save may be corrupted.",""
BeaverBuddies.Settings.PauseReduction.Off,"Off",""
BeaverBuddies.Settings.PauseReduction.LowRisk,"Menu only",""
BeaverBuddies.Settings.PauseReduction.HighRisk,"Never auto-pause",""
BeaverBuddies.Host.StartGame,"Start game",""
BeaverBuddies.Host.InviteFriends,"Invite friends",""
BeaverBuddies.JoinCoopGame.Success,"Joined! Receiving map...",""
BeaverBuddies.JoinCoopGame.Error.InvalidFormat,"That address isn't valid: its port can't be read.",""
BeaverBuddies.JoinCoopGame.Error.InvalidAddress,"That isn't a valid IP address.
It couldn't be found as a domain name either. Check the address and try again.",""
BeaverBuddies.JoinCoopGame.Error.CouldNotConnect,"Couldn't connect to the host. Check the address and port, and make sure the host is hosting and has forwarded the port if needed. Details:",""
BeaverBuddies.KeyBindings.Group,"Timber Together",""
BeaverBuddies.KeyBindings.Ping,"Ping location",""
BeaverBuddies.Settings.PingPlayerName,"Ping display name",""
BeaverBuddies.Settings.PingPlayerName.Tooltip,"Your name next to your pings, cursor and edits. Choose one nobody else in the game uses.",""
BeaverBuddies.Settings.PingColor,"Ping color",""
BeaverBuddies.Settings.PingColor.Tooltip,"The color of your pings, cursor and chat name on other players' screens.
Left on the default yellow, your cursor and chat name get a color by player number; pings stay yellow.",""
BeaverBuddies.Settings.GuestFpsFloor,"Ease off when a guest drops below this frame rate",""
BeaverBuddies.Settings.GuestFpsFloor.Tooltip,"Host only. Slows the game a little while a guest's frame rate is below this, then speeds back up.
Also in the connection panel during a game.",""
BeaverBuddies.Settings.GuestFpsFloor.Off,"Off",""
BeaverBuddies.Settings.GuestFpsFloor.20,"20 fps",""
BeaverBuddies.Settings.GuestFpsFloor.30,"30 fps",""
BeaverBuddies.Settings.GuestFpsFloor.45,"45 fps",""
BeaverBuddies.Settings.GuestFpsFloor.60,"60 fps",""
BeaverBuddies.Settings.RemoveSpeedLimit,"Remove the large colony speed limit",""
BeaverBuddies.Settings.RemoveSpeedLimit.Tooltip,"Runs at the chosen speed in a colony of any size (the game halves speed 7 in big ones).
In co-op, the host's choice applies to everyone.",""
BeaverBuddies.Settings.PlayerActivity,"Player activity indicators",""
BeaverBuddies.Settings.PlayerActivity.Tooltip,"Show other players' cursors, selections and edits, and share yours. Display only.
Change how each player looks to you in Options → Player cursors.",""
BeaverBuddies.Cursors.Button,"Player cursors",""
BeaverBuddies.Cursors.Title,"Player cursors",""
BeaverBuddies.Cursors.Subtitle,"Choose how each player's cursor looks to you. Only you see these changes.",""
BeaverBuddies.Cursors.None,"Nobody else is sharing their activity right now. Players show up here once they connect with Player activity indicators on.",""
BeaverBuddies.Cursors.TheirColor,"Their color",""
BeaverBuddies.Cursors.You,"You, in the chat",""
BeaverBuddies.Cursors.YouNote,"The color of your own name in the chat, on your screen only. Others see your Ping color, or the color for your player number.",""
BeaverBuddies.Cursors.Default,"Default",""
BeaverBuddies.Cursors.Red,"Red",""
BeaverBuddies.Cursors.Green,"Green",""
BeaverBuddies.Cursors.Blue,"Blue",""
BeaverBuddies.Cursors.Size,"Size",""
BeaverBuddies.Cursors.Transparency,"Transparency",""
BeaverBuddies.Cursors.Reset,"Reset",""
BeaverBuddies.Cursors.Done,"Done",""
BeaverBuddies.JoinCoopGame.Error.HostStarted,"The host has already started the game. Ask them to rehost and send you a new invite.",""
BeaverBuddies.KeyBindings.TogglePanel,"Toggle connection panel",""
BeaverBuddies.Settings.ConnectionPanelDisplay,"Connection panel",""
BeaverBuddies.Settings.ConnectionPanelDisplay.Tooltip,"The in-game panel showing players, ping, tick rate and whether you're in sync.
Click its title to collapse it. A key binding shows and hides it.",""
BeaverBuddies.Settings.ConnectionPanelDisplay.Expanded,"Expanded",""
BeaverBuddies.Settings.ConnectionPanelDisplay.Collapsed,"Collapsed",""
BeaverBuddies.Settings.ConnectionPanelDisplay.Hidden,"Hidden",""
BeaverBuddies.Settings.ConnectionPanelCorner,"Connection panel position",""
BeaverBuddies.Settings.ConnectionPanelCorner.Tooltip,"Which corner of the screen the connection panel sits in.",""
BeaverBuddies.Settings.ConnectionPanelCorner.TopLeft,"Top left",""
BeaverBuddies.Settings.ConnectionPanelCorner.TopRight,"Top right",""
BeaverBuddies.Settings.ConnectionPanelCorner.BottomLeft,"Bottom left",""
BeaverBuddies.Settings.ConnectionPanelCorner.BottomRight,"Bottom right",""
BeaverBuddies.Panel.Title,"Multiplayer",""
BeaverBuddies.Panel.Host,"Host",""
BeaverBuddies.Panel.Guest,"Guest",""
BeaverBuddies.Panel.PlayerNumber,"Player {0}",""
BeaverBuddies.Panel.PlayersOne,"{0} player",""
BeaverBuddies.Panel.PlayersMany,"{0} players",""
BeaverBuddies.Panel.PingValue,"{0} ms",""
BeaverBuddies.Panel.Measuring,"...",""
BeaverBuddies.Panel.NoResponse,"No response",""
BeaverBuddies.Panel.StatusInSync,"In sync",""
BeaverBuddies.Panel.StatusCatchingUp,"Catching up ({0} ticks behind)",""
BeaverBuddies.Panel.StatusWaiting,"Waiting for host",""
BeaverBuddies.Panel.StatusUnstable,"Connection unstable",""
BeaverBuddies.Panel.StatusDesynced,"Out of sync",""
BeaverBuddies.Panel.StatusDisconnected,"Disconnected",""
BeaverBuddies.Panel.LabelTickRate,"Tick rate",""
BeaverBuddies.Panel.LabelSpeed,"Speed",""
BeaverBuddies.Panel.LabelBehind,"Behind host",""
BeaverBuddies.Panel.LabelLink,"Connection",""
BeaverBuddies.Panel.LabelGuestsBehind,"Guest behind",""
BeaverBuddies.Panel.LabelPacing,"Easing off",""
BeaverBuddies.Panel.PacingValue,"{0}% of speed",""
BeaverBuddies.Panel.PacingHolding,"waiting for a guest",""
BeaverBuddies.Panel.PacingFpsValue,"{0}% (frame rate)",""
BeaverBuddies.Panel.LabelGuestFps,"Guest fps",""
BeaverBuddies.Panel.LabelFpsFloor,"Ease off below",""
BeaverBuddies.Panel.LabelFpsFloor.Tooltip,"Click to change. While a guest's frame rate stays below this, the host slows the game a little so they can keep up, then speeds back up. Off: never.",""
BeaverBuddies.Panel.FpsValue,"{0} fps",""
BeaverBuddies.Panel.FpsFloorOff,"Off",""
BeaverBuddies.Panel.TickRateValue,"{0} ticks/s",""
BeaverBuddies.Panel.SpeedValue,"{0}x",""
BeaverBuddies.Panel.Paused,"Paused",""
BeaverBuddies.Panel.TicksOne,"{0} tick",""
BeaverBuddies.Panel.TicksMany,"{0} ticks",""
BeaverBuddies.Panel.LinkDirect,"Direct",""
BeaverBuddies.Panel.LinkSteam,"Steam",""
BeaverBuddies.Mods.OtherPlayer,"the other player",""
BeaverBuddies.Mods.Intro,"Your mods don't match {0}'s. Mods that change the game can put your games out of sync (a desync).",""
BeaverBuddies.Mods.OnlyHere,"Only on your computer:",""
BeaverBuddies.Mods.OnlyThere,"Only on {0}'s computer:",""
BeaverBuddies.Mods.VersionsDiffer,"Different versions:",""
BeaverBuddies.Mods.VersionLine,"{0}: you have {1}, {2} has {3}",""
BeaverBuddies.Mods.More,"...and {0} more",""
BeaverBuddies.Mods.Advice,"Install and enable the same mods, at the same versions, on every computer, then host again. Mods that only change the interface are usually harmless.",""
BeaverBuddies.KeyBindings.FocusChat,"Chat: start typing",""
BeaverBuddies.Chat.Placeholder,"Type a message...",""
BeaverBuddies.Chat.Empty,"No messages yet",""
BeaverBuddies.Chat.Unread,"{0} new",""
BeaverBuddies.Chat.Boost,"Speed boost",""
BeaverBuddies.Chat.Boost.Tooltip,"Adds to the speed chosen at the top right, for everyone: speed 2 (3x) with +0.5 runs at 3.5x. Click - or + to step by 0.5, or type a number and press Enter. Range -6.5 to +23; the game never runs below 0.5x or above 30x.",""
BeaverBuddies.KeyBindings.FlipColonySeat,"Debug: act as the next colony (host)",""
BeaverBuddies.KeyBindings.FoundColony,"Found your colony (place its district center)",""
BeaverBuddies.KeyBindings.ToggleColonyRoads,"Show colonies' roads",""
BeaverBuddies.KeyBindings.TradeOverview,"Trading Posts and colonies",""
BeaverBuddies.KeyBindings.DiagnosticsReport,"Write a diagnostics report",""
BeaverBuddies.Colony.Diagnostics.Written,"Diagnostics report saved and copied to the clipboard: paste it into your bug report. File: {0}",""
BeaverBuddies.DevMode.CoopWarning,"Dev mode is on. In co-op, only three dev tools are shared, and only while the host has dev mode on: instant unlock (Ctrl-click), Finish now on a construction site, and the dev panel's Add 1000 Science. Every other dev tool and key (the debug buttons, the dev panel, Delete on a selected beaver, the beaver and bot tools) changes only your game and puts it out of sync.",""
BeaverBuddies.TickOnce.CoopBlocked,"Tick once (the period key by default) is off while a co-op game is paused: it would advance only your game and desync it. Unpause to play on.",""
BeaverBuddies.Colony.Overview.Report,"Diagnostics report (Ctrl+Shift+J)",""
BeaverBuddies.Colony.Refused.OtherColony,"That belongs to another colony.",""
BeaverBuddies.Colony.Refused.DevModeOff,"Dev mode shortcuts only work while the host has dev mode on.",""
BeaverBuddies.Colony.Refused.HostRefused,"The host couldn't accept that action.",""
BeaverBuddies.Colony.Refused.NotStartedYet,"Not yet: the game is still starting. Try again in a moment.",""
BeaverBuddies.Colony.Refused.NothingOwn,"None of that belongs to your colony.",""
BeaverBuddies.Colony.Refused.Locked,"Your colony has not unlocked this building yet.",""
BeaverBuddies.Colony.Refused.Blocked,"That spot is taken, or a district center can't go there.",""
BeaverBuddies.Colony.Refused.FoundingConflict,"Your district center would join another colony's roads. Colonies' roads meet only at a Trading Post.",""
BeaverBuddies.Colony.Refused.NotEnoughScience,"Your colony doesn't have enough science.",""
BeaverBuddies.Colony.Refused.TouchesOtherColony,"That would join another colony's roads. Colonies' roads meet only at a Trading Post.",""
BeaverBuddies.Colony.Handover.YoursDied,"Your colony has no beavers left. Its buildings now belong to {0}. Press Ctrl+K to found a new colony.",""
BeaverBuddies.Colony.Handover.YoursAbandoned,"While you were away, your colony was handed to {0}. Press Ctrl+K to found a new colony.",""
BeaverBuddies.Colony.Handover.YoursByHost,"The host handed your colony to {0}. Press Ctrl+K to found a new colony.",""
BeaverBuddies.Colony.Handover.ReceivedDied,"{0} had no beavers left: its buildings and stock are now yours.",""
BeaverBuddies.Colony.Handover.ReceivedAbandoned,"{0}'s player has been away too long: their colony is now yours to run.",""
BeaverBuddies.Colony.Handover.ReceivedByHost,"The host handed {0} to you: its buildings and stock are now yours.",""
BeaverBuddies.Settings.AbandonedColonyDays,"Hand over a colony after its player is away (days)",""
BeaverBuddies.Settings.AbandonedColonyDays.Tooltip,"Host only. Days of hosted play a player may miss before their colony goes to the nearest active colony.
0 (default): never; a friend can look after it (Ctrl+T). Mixed factions: only to a colony of its faction.",""
BeaverBuddies.Colony.RoadsJoined,"Two districts' roads have been joined without a District Crossing or Trading Post. Remove the joining path or building.",""
BeaverBuddies.Colony.DebugSeat,"Debug: your actions now count as colony {0}.",""
BeaverBuddies.Colony.PanelName,"{0} (colony {1})",""
BeaverBuddies.Colony.Founding.Prompt,"You can found your own colony. Place your district center anywhere its roads won't join another colony's (their roads show in their colors). It appears finished and is yours, with starting beavers, food and water. Cancel to keep playing together for now, and press Ctrl+K when you're ready.",""
BeaverBuddies.Colony.Founding.PlaceButton,"Place district center",""
BeaverBuddies.Colony.Founding.NotYours,"Only a player without a colony can found one, once.",""
BeaverBuddies.Colony.Founding.NotNeeded,"You already have a colony.",""
BeaverBuddies.Colony.Founding.HostFirst,"Host the game first: colonies are founded in a co-op game.",""
BeaverBuddies.Colony.Founding.NotStartedYet,"A colony can be founded once the game has started. Try again in a moment.",""
BeaverBuddies.Colony.Founding.Done,"A new colony has been founded.",""
BeaverBuddies.Colony.Founding.Failed,"The colony couldn't be founded there after all (the spot changed). Try again with Ctrl+K.",""
BeaverBuddies.Colony.Founding.Other,"A new colony has been founded: {0}.",""
BeaverBuddies.Building.TradingPost.DisplayName,"Trading Post",""
BeaverBuddies.Building.TradingPost.Description,"Lets two colonies trade goods, science and beavers. It's the only place their roads may meet. Build it between your road and another colony's, one road at each end. Each round, both sides' goods wait on their own half until both are in, then cross together.",""
BeaverBuddies.Building.TradingPost.FlavorDescription,"One beaver's surplus is another beaver's dam.",""
BeaverBuddies.Colony.Trade.ColonyN,"Colony {0}",""
BeaverBuddies.Colony.Trade.NotTradingTitle,"Not trading yet",""
BeaverBuddies.Colony.Trade.NotLinked,"A Trading Post trades once each half connects to a different colony's roads: one to yours, the other to a neighboring colony's. Until then, nothing crosses it.",""
BeaverBuddies.Colony.Trade.NoColonies,"Trading Posts only trade in a game with separate colonies. Nothing crosses this one.",""
BeaverBuddies.Colony.Trade.CrossingBetweenColonies,"A District Crossing moves nothing between two colonies. Build a Trading Post to trade between them.",""
BeaverBuddies.Colony.Trade.TradingWith,"Trading with {0}",""
BeaverBuddies.Colony.Trade.Between,"Between {0} and {1}",""
BeaverBuddies.Colony.Trade.TheirHalfTitle,"{0}'s half",""
BeaverBuddies.Colony.Trade.TheirHalf,"This half of the Trading Post is run by {0}. Your colony trades from its own half: the one your roads reach.",""
BeaverBuddies.Colony.Trade.SelectMyHalf,"Select your half",""
BeaverBuddies.Colony.Trade.ViewOnly,"Only {0} and {1} trade here.",""
BeaverBuddies.Colony.Trade.AllPostsShort,"All posts",""
BeaverBuddies.Colony.Trade.AllPostsTooltip,"Your Trading Posts with their exchanges, and every colony.",""
BeaverBuddies.Colony.Trade.YouGiveCaption,"You give",""
BeaverBuddies.Colony.Trade.YouGetCaption,"You get",""
BeaverBuddies.Colony.Trade.YouHaveN,"You have {0}",""
BeaverBuddies.Colony.Trade.TheyHaveN,"{0} has {1}",""
BeaverBuddies.Colony.Trade.ChooseTooltip,"Choose what to trade",""
BeaverBuddies.Colony.Trade.StepLess,"-{0} (Shift+click: -{1})",""
BeaverBuddies.Colony.Trade.StepMore,"+{0} (Shift+click: +{1})",""
BeaverBuddies.Colony.Trade.AmountTooltip,"How many each round: 0 to {0}.",""
BeaverBuddies.Colony.Trade.RoundsCaption,"Rounds",""
BeaverBuddies.Colony.Trade.RoundsNote,"up to {0} of each per round",""
BeaverBuddies.Colony.Trade.RoundsTooltip,"How many times the exchange runs: 1 to {0}. Each round crosses on its own.",""
BeaverBuddies.Colony.Trade.RepeatToggle,"Repeat until cancelled",""
BeaverBuddies.Colony.Trade.RepeatTooltip,"A standing deal: round after round, until both colonies agree to end it.",""
BeaverBuddies.Colony.Trade.SummaryExchange,"{0} gets {1}, and you get {2}.",""
BeaverBuddies.Colony.Trade.SummaryGift,"A gift: {0} gets {1}, and you ask nothing back.",""
BeaverBuddies.Colony.Trade.SummaryRequest,"A request: you ask {0} for {1}, and give nothing.",""
BeaverBuddies.Colony.Trade.RoundsOnce,"Once.",""
BeaverBuddies.Colony.Trade.RoundsMany,"{0} rounds: {1} for {2} in all.",""
BeaverBuddies.Colony.Trade.RoundsRepeat,"Round after round, until you both agree to stop.",""
BeaverBuddies.Colony.Trade.ErrorAmount,"Each side gives 0 to {0} per round. For more, add rounds.",""
BeaverBuddies.Colony.Trade.ErrorRounds,"Rounds go from 1 to {0}.",""
BeaverBuddies.Colony.Trade.ErrorNothing,"Set an amount above 0 on at least one side.",""
BeaverBuddies.Colony.Trade.ErrorSame,"Choose two different goods.",""
BeaverBuddies.Colony.Trade.ErrorNoItem,"Choose what to trade.",""
BeaverBuddies.Colony.Trade.Propose,"Make offer",""
BeaverBuddies.Colony.Trade.ProposeTooltip,"Each round, your Trading Post workers bring what you give to your half, and {0}'s bring theirs to their half. When both sides are in, everything crosses at once: goods to the other half, science from pool to pool, beavers to the other district.",""
BeaverBuddies.Colony.Trade.PickGive,"What you give",""
BeaverBuddies.Colony.Trade.PickGet,"What you ask {0} for",""
BeaverBuddies.Colony.Trade.InStockOnly,"Only what is in stock",""
BeaverBuddies.Colony.Trade.NoneInStock,"Nothing in stock here yet. Untick the box to see every good.",""
BeaverBuddies.Colony.Trade.CellTooltip,"{0}: {1} in stock",""
BeaverBuddies.Colony.Trade.YourOfferTitle,"Your offer",""
BeaverBuddies.Colony.Trade.WaitingFor,"waiting for {0}",""
BeaverBuddies.Colony.Trade.TheyOfferTitle,"{0} offers an exchange",""
BeaverBuddies.Colony.Trade.YouHaveNote,"you have {0}",""
BeaverBuddies.Colony.Trade.Accept,"Accept",""
BeaverBuddies.Colony.Trade.Decline,"Decline",""
BeaverBuddies.Colony.Trade.Withdraw,"Withdraw offer",""
BeaverBuddies.Colony.Trade.UnderWayTitle,"Exchange under way",""
BeaverBuddies.Colony.Trade.PausedTitle,"Exchange paused",""
BeaverBuddies.Colony.Trade.RoundRepeating,"round {0}, repeating",""
BeaverBuddies.Colony.Trade.RoundOf,"round {0} of {1}",""
BeaverBuddies.Colony.Trade.ProgressText,"{0} / {1} {2}",""
BeaverBuddies.Colony.Trade.NoteOnYourHalf,"on your half",""
BeaverBuddies.Colony.Trade.NoteOnTheirHalf,"on their half",""
BeaverBuddies.Colony.Trade.NoteScience,"to spare in the pool",""
BeaverBuddies.Colony.Trade.NoteBeavers,"adults to spare",""
BeaverBuddies.Colony.Trade.StatusOnHold,"On hold: a colony asked to end the exchange.",""
BeaverBuddies.Colony.Trade.StatusYourScience,"Your colony needs {0} more science for this round.",""
BeaverBuddies.Colony.Trade.StatusYourBeavers,"Your district needs {0} adults free to go: carrying nothing, and able to walk to the other district (one adult always stays).",""
BeaverBuddies.Colony.Trade.StatusNoWorkers,"Your half has no workers. Assign some to bring your side.",""
BeaverBuddies.Colony.Trade.StatusYouBring,"Your workers are bringing {0} more {1} to your half.",""
BeaverBuddies.Colony.Trade.StatusTheirSpecial,"Your side is in. Waiting for {0}'s {1}.",""
BeaverBuddies.Colony.Trade.StatusTheyBring,"Your side is in. Waiting for {0} to bring {1} more {2}.",""
BeaverBuddies.Colony.Trade.StatusCrossing,"Both sides are in: crossing now.",""
BeaverBuddies.Colony.Trade.PausedStatus,"This Trading Post no longer joins your two colonies, so nothing crosses it.",""
BeaverBuddies.Colony.Trade.AskCancel,"Cancel exchange",""
BeaverBuddies.Colony.Trade.AskCancelTooltip,"Asks {0} to end the exchange. It ends once both colonies agree. Any goods already brought for the round then go back to the colony that brought them. Finished rounds are not undone.",""
BeaverBuddies.Colony.Trade.AgreeCancel,"Agree to cancel",""
BeaverBuddies.Colony.Trade.AgreeCancelTooltip,"Ends the exchange. Any goods already brought for the round go back to the colony that brought them. Finished rounds are not undone.",""
BeaverBuddies.Colony.Trade.KeepTrading,"Keep trading",""
BeaverBuddies.Colony.Trade.EndExchange,"End exchange",""
BeaverBuddies.Colony.Trade.EndExchangeTooltip,"Ends the exchange now. The other colony can't answer while this Trading Post doesn't join your colonies. Goods waiting on your half go to your storage.",""
BeaverBuddies.Colony.Trade.PausedCancel,"You can end it. The goods waiting on your half go to your storage.",""
BeaverBuddies.Colony.Trade.TheyAskCancel,"{0} asks to end this exchange. Nothing crosses until you answer.",""
BeaverBuddies.Colony.Trade.YouAskedCancel,"You asked {0} to end this exchange. Nothing crosses until they answer.",""
BeaverBuddies.Colony.Trade.OnThisHalf,"On this half",""
BeaverBuddies.Colony.Trade.OnThisHalfTooltip,"Goods waiting on your half: yours, held for the round under way, or the other colony's, waiting for your workers to haul them to storage. A Trading Post keeps nothing else.",""
BeaverBuddies.Colony.Trade.LedgerTitle,"Ledger",""
BeaverBuddies.Colony.Trade.LedgerTooltip,"Every round that crossed at this Trading Post, newest first: the cycle and day, what your colony gave and what it got.",""
BeaverBuddies.Colony.Trade.LedgerEmpty,"No round has crossed here yet.",""
BeaverBuddies.Colony.Trade.LedgerGave,"gave",""
BeaverBuddies.Colony.Trade.LedgerGot,"got",""
BeaverBuddies.Colony.Trade.LedgerYouGave,"You gave",""
BeaverBuddies.Colony.Trade.LedgerTheyGave,"{0} gave",""
BeaverBuddies.Colony.Trade.LedgerMore,"and {0} earlier",""
BeaverBuddies.Colony.Trade.TradedWith,"Traded with {0} (all posts)",""
BeaverBuddies.Colony.Trade.YouSent,"You sent",""
BeaverBuddies.Colony.Trade.YouReceived,"You received",""
BeaverBuddies.Colony.Trade.Nothing,"nothing yet",""
BeaverBuddies.Colony.Trade.MoreChips,"+{0} more",""
BeaverBuddies.Colony.Trade.NothingInReturn,"nothing",""
BeaverBuddies.Colony.Trade.HostFirst,"Trading works in a co-op game: host the game first (even alone).",""
BeaverBuddies.Colony.Trade.Notice.Proposed,"{0} offers {1} for {2} at a Trading Post. Click here to answer.",""
BeaverBuddies.Colony.Trade.Notice.Accepted,"{0} accepted your exchange: {1} for {2}.",""
BeaverBuddies.Colony.Trade.Notice.Declined,"{0} declined your exchange offer.",""
BeaverBuddies.Colony.Trade.Notice.Withdrawn,"{0} withdrew their exchange offer.",""
BeaverBuddies.Colony.Trade.Notice.CancelAsked,"{0} asks to end your exchange at a Trading Post. Click here to answer.",""
BeaverBuddies.Colony.Trade.Notice.CancelRefused,"{0} wants to keep the exchange going.",""
BeaverBuddies.Colony.Trade.Notice.CancelWithdrawn,"{0} no longer asks to end the exchange.",""
BeaverBuddies.Colony.Trade.Notice.Cancelled,"The exchange between {0} and {1} was cancelled. Any goods already brought to the Trading Post go back to the colony that brought them.",""
BeaverBuddies.Colony.Trade.Notice.Complete,"The exchange between {0} and {1} is complete.",""
BeaverBuddies.Colony.Trade.Notice.Void,"An exchange ended: its Trading Post no longer joins the two colonies that agreed to it.",""
BeaverBuddies.Colony.Trade.Notification.Joined,"{0} joined the colony from {1} through a Trading Post.",""
BeaverBuddies.Colony.Trade.ItemScience,"Science",""
BeaverBuddies.Colony.Trade.ItemBeavers,"Beavers",""
BeaverBuddies.Colony.Trade.ItemBeaver,"Beaver",""
BeaverBuddies.Colony.Overview.Title,"Trading Posts and colonies",""
BeaverBuddies.Colony.Overview.Button,"Trade",""
BeaverBuddies.Colony.Overview.ButtonTooltip,"Trading Posts and colonies",""
BeaverBuddies.Colony.Overview.CloseTooltip,"Close",""
BeaverBuddies.Colony.Overview.Posts,"Your Trading Posts ({0})",""
BeaverBuddies.Colony.Overview.NoPosts,"None yet. Build a Trading Post between your road and another colony's.",""
BeaverBuddies.Colony.Overview.GoTo,"Go to",""
BeaverBuddies.Colony.Overview.With,"With {0}",""
BeaverBuddies.Colony.Overview.Idle,"No exchange.",""
BeaverBuddies.Colony.Overview.NotTrading,"The other half needs a neighboring colony's roads.",""
BeaverBuddies.Colony.Overview.YouOffered,"You offered {0} for {1}; waiting for an answer.",""
BeaverBuddies.Colony.Overview.TheyOffer,"They offer {1} for {0}: go there to answer.",""
